tangela request date,startup ID one,startup name one,user role in startup one,created at one,startup id two,startup name two,user role in startup two,created at two,user in common ID,user in common name
06/03/2015,221917,Vorcu,founder,2013-06-11T20:38:38.000Z,618511,kurv,founder,2015-02-23T22:14:54.000Z,320222,Nicol?s Sandller
06/03/2015,618511,kurv,founder,2015-02-23T22:13:17.000Z,359143,Clarin Digital,employee,2015-02-23T22:13:43.000Z,320207,Santiago Darmandrail
06/03/2015,221917,Vorcu,founder,2013-06-11T20:34:52.000Z,359143,Clarin Digital,employee,2015-02-23T22:13:43.000Z,320207,Santiago Darmandrail
06/03/2015,221917,Vorcu,founder,2013-06-11T20:34:52.000Z,618511,kurv,founder,2015-02-23T22:13:17.000Z,320207,Santiago Darmandrail
06/03/2015,612207,Ingame,founder,2015-02-20T18:16:32.000Z,60857,Southworks,employee,2015-02-20T18:21:34.000Z,1034327,Juan Pablo Garcia Dalolla
06/03/2015,612207,Ingame,founder,2015-02-17T17:56:19.000Z,221582,Anheuser-Busch Inbev,employee,2015-02-17T17:56:29.000Z,1017450,Conrado Cimino
06/03/2015,606003,ASIC Runner,employee,2015-02-11T00:21:54.000Z,606004,Coloors,employee,2015-02-11T00:22:08.000Z,445798,Mauro Casas
06/03/2015,606000,Actuame,employee,2015-02-11T00:21:50.000Z,606004,Coloors,employee,2015-02-11T00:22:08.000Z,445798,Mauro Casas
06/03/2015,606000,Actuame,employee,2015-02-11T00:21:50.000Z,606003,ASIC Runner,employee,2015-02-11T00:21:54.000Z,445798,Mauro Casas
06/03/2015,599316,laofi.co,founder,2015-02-04T15:50:33.000Z,70318,Schneider Electric,employee,2015-02-04T15:54:09.000Z,995083,Daniel Salvucci
06/03/2015,598512,ReservaTurno,founder,2015-02-04T02:06:55.000Z,32203,Google,employee,2015-02-04T14:38:17.000Z,997480,Ianir Sonis
06/03/2015,598514,CertiSur,employee,2015-02-03T21:26:20.000Z,33218,IBM,employee,2015-02-03T21:26:25.000Z,998074,Mijal Yelin
06/03/2015,598512,ReservaTurno,founder,2015-02-03T21:25:07.000Z,33218,IBM,employee,2015-02-03T21:26:25.000Z,998074,Mijal Yelin
06/03/2015,598512,ReservaTurno,founder,2015-02-03T21:25:07.000Z,598514,CertiSur,employee,2015-02-03T21:26:20.000Z,998074,Mijal Yelin
06/03/2015,112849,TasteSpace,founder,2015-02-16T16:53:26.000Z,597310,Buenchef,founder,2015-02-19T18:38:21.000Z,200550,Hernan Manzitti
06/03/2015,30850,Sinimanes,founder,2012-11-21T20:26:19.000Z,597310,Buenchef,founder,2015-02-19T18:38:21.000Z,200550,Hernan Manzitti
06/03/2015,121910,Ch2m Hill,employee,2012-11-21T20:25:18.000Z,597310,Buenchef,founder,2015-02-19T18:38:21.000Z,200550,Hernan Manzitti
06/03/2015,38278,Ericsson,employee,2012-11-21T20:25:09.000Z,597310,Buenchef,founder,2015-02-19T18:38:21.000Z,200550,Hernan Manzitti
06/03/2015,30850,Sinimanes,founder,2012-11-21T20:26:19.000Z,112849,TasteSpace,founder,2015-02-16T16:53:26.000Z,200550,Hernan Manzitti
06/03/2015,121910,Ch2m Hill,employee,2012-11-21T20:25:18.000Z,112849,TasteSpace,founder,2015-02-16T16:53:26.000Z,200550,Hernan Manzitti
06/03/2015,38278,Ericsson,employee,2012-11-21T20:25:09.000Z,112849,TasteSpace,founder,2015-02-16T16:53:26.000Z,200550,Hernan Manzitti
06/03/2015,121910,Ch2m Hill,employee,2012-11-21T20:25:18.000Z,30850,Sinimanes,founder,2012-11-21T20:26:19.000Z,200550,Hernan Manzitti
06/03/2015,38278,Ericsson,employee,2012-11-21T20:25:09.000Z,30850,Sinimanes,founder,2012-11-21T20:26:19.000Z,200550,Hernan Manzitti
06/03/2015,38278,Ericsson,employee,2012-11-21T20:25:09.000Z,121910,Ch2m Hill,employee,2012-11-21T20:25:18.000Z,200550,Hernan Manzitti
06/03/2015,597310,Buenchef,founder,2015-02-02T21:38:26.000Z,112849,TasteSpace,founder,2015-02-16T16:52:49.000Z,82622,Tom?s Manzitti
06/03/2015,342278,HESIODO,advisor,2014-02-13T15:56:02.000Z,112849,TasteSpace,founder,2015-02-16T16:52:49.000Z,82622,Tom?s Manzitti
06/03/2015,30850,Sinimanes,founder,2011-12-26T13:14:35.000Z,112849,TasteSpace,founder,2015-02-16T16:52:49.000Z,82622,Tom?s Manzitti
06/03/2015,342278,HESIODO,advisor,2014-02-13T15:56:02.000Z,597310,Buenchef,founder,2015-02-02T21:38:26.000Z,82622,Tom?s Manzitti
06/03/2015,30850,Sinimanes,founder,2011-12-26T13:14:35.000Z,597310,Buenchef,founder,2015-02-02T21:38:26.000Z,82622,Tom?s Manzitti
06/03/2015,30850,Sinimanes,founder,2011-12-26T13:14:35.000Z,342278,HESIODO,advisor,2014-02-13T15:56:02.000Z,82622,Tom?s Manzitti
06/03/2015,32357,Playdom,employee,2015-02-20T18:59:53.000Z,35417,Popego,employee,2015-02-20T19:00:34.000Z,169890,Victor Calvello
06/03/2015,597169,Alantu,founder,2015-02-02T19:36:34.000Z,35417,Popego,employee,2015-02-20T19:00:34.000Z,169890,Victor Calvello
06/03/2015,78824,Ideame,employee,2012-09-05T14:53:15.000Z,35417,Popego,employee,2015-02-20T19:00:34.000Z,169890,Victor Calvello
06/03/2015,597169,Alantu,founder,2015-02-02T19:36:34.000Z,32357,Playdom,employee,2015-02-20T18:59:53.000Z,169890,Victor Calvello
06/03/2015,78824,Ideame,employee,2012-09-05T14:53:15.000Z,32357,Playdom,employee,2015-02-20T18:59:53.000Z,169890,Victor Calvello
06/03/2015,78824,Ideame,employee,2012-09-05T14:53:15.000Z,597169,Alantu,founder,2015-02-02T19:36:34.000Z,169890,Victor Calvello
06/03/2015,597169,Alantu,founder,2015-02-02T19:29:51.000Z,47429,Travelocity,employee,2015-02-02T19:31:13.000Z,994580,Carlos De Venezia
06/03/2015,323780,ExpensasOnline,employee,2015-01-30T07:06:45.000Z,594685,Fundaci?n Lo Mejor de M?,founder,2015-01-30T13:26:12.000Z,989001,Juan Pablo Devecchi Martinengo
06/03/2015,594308,Expensas Online,founder,2015-01-30T01:18:43.000Z,594685,Fundaci?n Lo Mejor de M?,founder,2015-01-30T13:26:12.000Z,989001,Juan Pablo Devecchi Martinengo
06/03/2015,594308,Expensas Online,founder,2015-01-30T01:18:43.000Z,323780,ExpensasOnline,employee,2015-01-30T07:06:45.000Z,989001,Juan Pablo Devecchi Martinengo
06/03/2015,172638,BankBoston,advisor,2015-01-27T23:43:35.000Z,40656,Citibank,advisor,2015-01-27T23:43:31.000Z,970411,Dante Castiglione Maldonado
06/03/2015,33218,IBM,advisor,2015-01-27T23:43:26.000Z,40656,Citibank,advisor,2015-01-27T23:43:31.000Z,970411,Dante Castiglione Maldonado
06/03/2015,46702,J.P. Morgan,advisor,2015-01-27T23:43:05.000Z,40656,Citibank,advisor,2015-01-27T23:43:31.000Z,970411,Dante Castiglione Maldonado
06/03/2015,585018,On!,founder,2015-01-21T00:56:20.000Z,40656,Citibank,advisor,2015-01-27T23:43:31.000Z,970411,Dante Castiglione Maldonado
06/03/2015,33218,IBM,advisor,2015-01-27T23:43:26.000Z,172638,BankBoston,advisor,2015-01-27T23:43:35.000Z,970411,Dante Castiglione Maldonado
06/03/2015,46702,J.P. Morgan,advisor,2015-01-27T23:43:05.000Z,172638,BankBoston,advisor,2015-01-27T23:43:35.000Z,970411,Dante Castiglione Maldonado
06/03/2015,585018,On!,founder,2015-01-21T00:56:20.000Z,172638,BankBoston,advisor,2015-01-27T23:43:35.000Z,970411,Dante Castiglione Maldonado
06/03/2015,46702,J.P. Morgan,advisor,2015-01-27T23:43:05.000Z,33218,IBM,advisor,2015-01-27T23:43:26.000Z,970411,Dante Castiglione Maldonado
06/03/2015,585018,On!,founder,2015-01-21T00:56:20.000Z,33218,IBM,advisor,2015-01-27T23:43:26.000Z,970411,Dante Castiglione Maldonado
06/03/2015,585018,On!,founder,2015-01-21T00:56:20.000Z,46702,J.P. Morgan,advisor,2015-01-27T23:43:05.000Z,970411,Dante Castiglione Maldonado
